Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,6.13,4.56
1,5.53,4.68
2,5.07,4.88
3,4.73,4.69
4,4.50,4.47
5,4.37,4.34
6,4.34,4.30
7,4.38,4.35
8,4.50,4.47
9,4.71,4.67
10,4.99,4.41
11,3.30,4.21
12,7.03,4.10
13,6.18,4.08
14,5.49,4.13
15,4.96,4.26
16,4.54,4.47
17,4.25,3.29
18,4.06,4.04
19,3.96,3.94
20,3.94,3.92
21,4.00,3.98
22,4.14,4.12
23,4.35,4.34
24,4.65,4.64
25,5.04,3.85
26,6.33,3.76
27,5.57,3.76
28,4.95,3.82
29,4.47,3.97
30,4.11,4.19
31,3.86,4.50
32,3.70,3.70
33,3.63,3.62
34,3.64,3.63
35,3.71,3.71
36,3.88,3.87
37,4.11,4.11
38,4.44,4.43
39,4.84,3.55
40,3.23,3.48
41,5.05,3.50
42,4.50,3.59
43,4.09,3.76
44,3.78,4.01
45,3.57,4.35
46,3.44,3.33
47,3.39,3.40
48,3.41,3.42
49,3.52,3.52
50,3.70,3.70
51,3.96,3.97
52,4.32,4.32
53,4.77,4.77
54,5.31,3.29
55,4.65,3.33
56,4.17,3.45
57,3.80,3.64
58,3.54,3.93
59,3.36,4.30
60,3.26,4.76
61,3.24,3.25
62,3.29,3.30
63,3.42,3.43
64,3.63,3.64
65,3.93,3.94
66,4.32,4.33
67,4.80,4.81
68,5.40,3.18
69,4.03,3.25
70,3.93,3.40
71,3.60,3.62
72,3.37,3.94
73,3.22,4.35
74,3.15,4.85
75,3.15,4.14
76,3.24,3.25
77,3.40,3.41
78,3.64,3.65
79,3.97,3.99
80,4.40,4.41
81,4.92,4.94
82,5.57,5.59
83,6.34,3.22
84,3.74,3.39
85,3.46,3.66
86,3.25,4.00
87,3.13,4.46
88,3.09,5.01
89,3.11,5.68
90,3.23,3.24
91,3.42,3.43
92,3.69,3.71
93,4.07,4.08
94,4.53,4.55
95,5.12,5.13
96,5.82,5.83
97,6.65,3.23
98,5.96,3.45
99,3.38,3.74
