Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,4.92,4.95
1,5.13,5.15
2,5.42,4.93
3,5.79,4.69
4,6.26,4.56
5,3.48,4.52
6,6.09,4.58
7,5.49,4.71
8,5.03,4.91
9,4.69,3.51
10,4.47,4.49
11,4.35,4.37
12,4.32,4.34
13,4.38,4.40
14,4.53,4.54
15,4.74,4.76
16,5.04,5.06
17,5.43,4.27
18,5.92,4.16
19,6.49,4.15
20,5.51,4.21
21,4.97,4.35
22,4.56,4.58
23,4.26,4.90
24,4.08,4.10
25,3.99,4.00
26,3.99,4.00
27,4.06,4.08
28,4.22,4.24
29,4.46,4.48
30,4.79,4.80
31,5.21,3.92
32,5.71,3.84
33,6.33,3.85
34,3.68,3.94
35,4.55,4.11
36,4.19,4.36
37,3.94,4.70
38,3.79,3.43
39,3.72,3.74
40,3.74,3.75
41,3.84,3.85
42,4.02,4.03
43,4.28,4.30
44,4.64,4.65
45,5.08,5.09
46,5.62,3.62
47,6.28,3.65
48,7.05,3.76
49,4.25,3.96
50,3.94,4.24
51,3.72,4.61
52,3.60,5.07
53,3.56,3.57
54,3.60,3.61
55,3.73,3.74
56,3.94,3.94
57,4.22,4.23
58,4.61,4.62
59,5.10,5.10
60,5.68,3.49
61,6.39,3.55
62,7.21,3.69
63,4.91,3.91
64,3.76,4.22
65,3.58,4.63
66,3.49,5.13
67,3.47,4.10
68,3.54,3.54
69,3.69,3.69
70,3.92,3.93
71,4.25,4.26
72,4.68,4.68
73,5.20,5.21
74,5.84,5.85
75,6.60,3.51
76,7.50,3.68
77,8.51,3.94
78,3.66,4.28
79,3.50,4.73
80,3.43,5.28
81,3.44,5.95
82,3.53,3.53
83,3.71,3.71
84,3.98,3.98
85,4.35,4.35
86,4.82,4.81
87,5.39,5.39
88,6.08,6.08
89,6.90,3.53
90,7.86,3.73
91,8.95,4.02
92,7.51,4.40
93,3.48,4.89
94,3.43,5.48
95,3.47,6.20
96,3.59,5.74
97,3.80,3.79
98,4.11,4.09
99,4.52,4.50
