Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,4.68,4.61
1,4.72,4.65
2,4.86,4.78
3,5.06,5.07
4,5.35,4.73
5,3.44,4.51
6,7.58,4.39
7,6.68,4.36
8,5.94,4.42
9,5.35,4.55
10,4.90,3.37
11,4.58,4.52
12,4.38,4.31
13,4.27,4.20
14,4.24,4.19
15,4.31,4.25
16,4.46,4.40
17,4.70,4.62
18,5.00,4.27
19,5.41,4.09
20,6.78,4.00
21,5.96,4.00
22,5.31,4.08
23,4.80,4.24
24,4.41,4.48
25,4.14,4.09
26,3.97,3.93
27,3.90,3.85
28,3.91,3.86
29,4.00,3.95
30,4.17,4.12
31,4.43,4.37
32,4.77,3.90
33,5.20,3.75
34,3.23,3.70
35,5.38,3.72
36,4.80,3.82
37,4.36,4.01
38,4.04,4.28
39,3.81,3.19
40,3.69,3.64
41,3.64,3.59
42,3.68,3.63
43,3.80,3.75
44,4.00,3.95
45,4.28,4.23
46,4.66,4.60
47,5.13,3.51
48,5.71,3.49
49,4.92,3.54
50,4.42,3.67
51,4.04,3.89
52,3.77,4.19
53,3.59,4.58
54,3.49,3.45
55,3.48,3.44
56,3.55,3.51
57,3.70,3.66
58,3.94,3.89
59,4.26,4.21
60,4.67,4.62
61,5.20,3.36
62,5.83,3.37
63,4.02,3.46
64,4.15,3.62
65,3.82,3.88
66,3.59,4.22
67,3.44,4.66
68,3.38,3.76
69,3.40,3.36
70,3.50,3.46
71,3.69,3.64
72,3.96,3.91
73,4.32,4.27
74,4.80,4.73
75,5.37,5.31
76,6.05,3.32
77,6.86,3.44
78,3.96,3.64
79,3.67,3.93
80,3.47,4.31
81,3.35,4.80
82,3.32,5.39
83,3.37,3.33
84,3.51,3.46
85,3.73,3.68
86,4.04,3.99
87,4.45,4.40
88,4.98,4.93
89,5.61,5.55
90,6.36,3.33
91,7.25,3.48
92,6.06,3.71
93,3.59,4.05
94,3.42,4.48
95,3.34,5.01
96,3.33,5.67
97,3.41,5.28
98,3.58,3.54
99,3.84,3.79
