Step(mm),提案手法(L: 黒 R: 白),西村式(L: 黒 R: 白)
0,5.86,4.45
1,5.29,4.59
2,4.85,4.81
3,4.55,5.11
4,4.34,5.50
5,4.24,5.98
6,4.22,6.55
7,4.30,4.37
8,4.44,4.42
9,4.66,4.64
10,4.97,4.95
11,3.45,5.35
12,6.79,5.84
13,5.99,6.43
14,5.32,7.12
15,4.81,4.24
16,4.42,4.48
17,4.15,4.80
18,3.98,5.21
19,3.90,5.71
20,3.90,6.32
21,3.99,7.03
22,4.15,4.12
23,4.39,4.37
24,4.73,4.70
25,5.15,5.11
26,6.19,5.64
27,5.46,6.26
28,4.88,6.99
29,4.42,4.00
30,4.08,4.26
31,3.84,4.60
32,3.70,5.04
33,3.65,5.57
34,3.67,6.21
35,3.78,6.96
36,3.97,5.06
37,4.23,4.19
38,4.59,4.55
39,5.05,4.99
40,3.42,5.55
41,5.07,6.21
42,4.55,6.98
43,4.14,7.89
44,3.84,4.14
45,3.63,4.51
46,3.52,4.98
47,3.49,5.55
48,3.54,6.23
49,3.67,7.03
50,3.89,7.96
51,4.19,4.13
52,4.58,4.52
53,5.07,5.01
54,5.67,5.61
55,4.79,6.31
56,4.31,7.15
57,3.94,8.10
58,3.68,4.13
59,3.50,4.53
60,3.41,5.04
61,3.41,5.65
62,3.48,6.39
63,3.64,7.25
64,3.89,8.24
65,4.22,6.82
66,4.65,4.59
67,5.18,5.11
68,5.82,5.76
69,4.39,6.52
70,4.14,7.41
71,3.81,8.44
72,3.57,9.61
73,3.43,4.62
74,3.36,5.17
75,3.38,5.84
76,3.48,6.64
77,3.67,7.57
78,3.95,8.62
79,4.31,9.83
80,4.79,4.72
81,5.37,5.29
82,6.07,5.99
83,6.90,6.81
84,4.05,7.76
85,3.75,8.86
86,3.54,10.12
87,3.41,4.79
88,3.37,5.39
89,3.41,6.10
90,3.53,6.95
91,3.75,7.94
92,4.06,9.08
93,4.47,10.35
94,4.98,9.94
95,5.61,5.53
96,6.37,6.28
97,7.25,7.16
98,6.64,8.18
99,3.78,9.36
