Step(mm),dotNum1,dotNum2,dotNum3,dotNum4,dotNum5,dotNum6,dotNum7,dotNum8,dotNum9,dotNum10,dotNum11,dotNum12,dotNum13,dotNum14,dotNum15,dotNum16
62,15.37,16.50,19.58,26.51,37.76,46.35,47.17,42.68,31.38,21.21,16.89,15.48,15.18,15.01,15.00,15.00
63,15.46,16.79,20.31,27.92,39.87,47.10,46.32,41.38,29.62,20.21,16.57,15.38,15.10,15.01,15.00,15.00
64,15.57,17.13,21.14,29.42,41.50,47.63,46.33,39.87,27.91,19.38,16.31,15.29,15.07,15.01,15.00,15.00
65,15.71,17.51,22.06,30.99,41.95,47.88,45.44,38.41,26.61,18.67,16.08,15.23,15.05,15.01,15.00,15.00
66,15.87,17.96,23.10,32.63,44.25,47.94,44.42,36.13,26.26,18.07,15.88,15.17,15.03,15.01,15.00,15.00
67,16.06,18.47,24.24,34.30,44.64,47.75,43.27,35.00,24.73,17.58,15.71,15.13,15.02,15.01,15.00,15.00
68,16.28,19.07,25.49,36.03,46.11,47.37,41.95,32.59,23.32,17.28,15.57,15.09,15.01,15.01,15.00,15.00
69,16.54,19.75,26.85,37.71,46.64,46.77,40.54,30.80,22.07,16.91,15.45,15.07,15.01,15.01,15.00,15.00
70,16.83,20.51,28.28,39.39,47.33,46.00,39.02,29.06,20.17,16.59,15.36,15.04,15.01,15.01,15.00,15.00
71,17.18,21.38,29.81,40.99,47.76,45.09,37.39,27.36,20.02,16.31,15.28,15.03,15.01,15.01,15.00,15.00
72,17.59,22.34,31.41,42.49,47.97,43.99,35.68,26.32,19.21,16.07,15.21,15.02,15.00,15.01,15.00,15.00
73,18.05,23.42,33.08,43.84,47.87,42.80,33.91,24.28,18.63,15.89,15.16,15.01,15.00,15.01,15.00,15.00
74,18.59,24.61,34.77,45.05,47.69,41.45,32.11,23.30,18.53,15.72,15.12,15.01,15.00,15.01,15.00,15.00
75,19.20,25.89,36.47,46.06,47.01,39.99,30.31,21.00,17.97,15.54,15.10,15.00,15.00,15.01,15.00,15.00
76,19.89,27.28,38.16,46.87,46.62,38.41,28.56,20.70,17.16,15.43,15.09,15.00,15.00,15.00,15.00,15.00
77,20.69,28.76,39.82,47.46,45.47,36.73,26.90,20.70,16.73,15.33,15.06,15.00,15.00,15.00,15.00,15.00
78,21.58,30.32,41.38,47.78,44.83,34.99,25.33,19.81,16.19,15.26,15.04,15.00,15.00,15.00,15.00,15.00
79,22.59,31.96,42.86,47.90,43.72,33.19,23.89,19.04,16.05,15.20,15.02,15.00,15.00,15.00,15.00,15.00
80,23.69,33.63,44.17,47.79,42.45,31.40,22.59,18.40,15.85,15.15,15.01,15.00,15.00,15.00,15.00,15.00
81,24.90,35.35,45.32,47.47,41.05,29.62,21.44,17.40,15.69,15.11,15.01,15.00,15.00,15.00,15.00,15.00
82,26.20,37.05,46.30,46.98,39.56,27.93,20.46,17.00,15.56,15.08,15.00,15.00,15.00,15.00,15.00,15.00
83,27.63,38.76,47.02,46.28,37.25,26.29,19.59,16.66,15.43,15.05,15.00,15.00,15.00,15.00,15.00,15.00
84,29.14,40.38,47.53,45.41,36.23,24.78,18.86,16.38,15.34,15.03,15.00,15.00,15.00,15.00,15.00,15.00
85,30.72,41.92,47.80,44.41,34.48,23.42,18.25,16.13,15.26,15.02,15.00,15.00,15.00,15.00,15.00,15.00
86,32.35,43.33,47.86,43.27,32.68,22.20,17.73,15.93,15.19,15.01,15.00,15.00,15.00,15.00,15.00,15.00
87,34.02,44.57,47.69,41.93,30.88,21.13,17.29,15.75,15.14,15.01,15.00,15.00,15.00,15.00,15.00,15.00
88,35.73,45.63,47.33,40.52,29.13,20.19,16.91,15.61,15.11,15.01,15.00,15.01,15.00,15.00,15.00,15.00
89,37.41,46.48,46.76,38.97,27.46,19.41,16.59,15.48,15.08,15.00,15.00,15.01,15.00,15.00,15.00,15.00
90,39.06,47.11,46.02,37.34,25.87,18.71,16.32,15.38,15.07,15.00,15.00,15.01,15.00,15.00,15.00,15.01
91,40.64,47.49,45.10,35.61,24.42,18.13,16.08,15.30,15.05,15.00,15.00,15.01,15.00,15.00,15.00,15.03
92,42.13,47.66,44.04,33.83,23.10,17.63,15.88,15.23,15.03,15.00,15.00,15.02,15.00,15.00,15.00,15.04
93,43.46,47.63,42.86,32.02,21.94,17.22,15.72,15.18,15.01,15.00,15.00,15.03,15.00,15.00,15.00,15.21
94,44.62,47.41,41.52,30.27,20.92,16.84,15.58,15.14,15.01,15.00,15.01,15.04,15.00,15.00,15.00,21.11
