Step(mm),dotNum1,dotNum2,dotNum3,dotNum4,dotNum5,dotNum6,dotNum7,dotNum8,dotNum9,dotNum10,dotNum11,dotNum12,dotNum13,dotNum14,dotNum15,dotNum16
35,15.04,15.00,15.01,15.10,15.55,16.74,19.54,23.53,32.89,41.33,46.37,41.10,,,,
36,15.02,15.00,15.02,15.12,15.64,17.04,20.39,23.88,34.46,43.68,46.13,39.89,,,,
37,15.01,15.00,15.02,15.16,15.76,17.38,20.98,25.51,36.04,44.88,45.75,38.60,,,,
38,15.01,15.00,15.03,15.20,15.92,17.76,22.07,27.14,37.66,45.72,45.15,37.20,,,,
39,15.01,15.00,15.04,15.25,16.10,18.20,22.81,28.99,39.22,46.33,44.36,35.68,,,,
40,15.00,15.00,15.05,15.31,16.32,18.71,24.09,30.48,40.76,46.74,43.77,34.13,,,,
41,15.00,15.01,15.07,15.38,16.56,19.28,25.05,32.03,41.63,46.88,42.42,32.49,,,,
42,15.00,15.01,15.09,15.47,16.83,19.94,26.54,33.60,42.14,46.79,41.23,32.50,,,,
43,15.00,15.01,15.11,15.58,17.41,20.68,26.67,35.22,44.25,46.50,39.97,30.84,,,,
44,15.00,15.02,15.15,15.71,17.65,21.51,28.03,36.85,45.61,45.97,38.58,27.83,,,,
45,15.00,15.03,15.19,15.86,18.09,22.43,30.32,37.88,46.36,45.50,37.11,25.89,,,,
46,15.00,15.04,15.23,16.03,18.60,23.46,32.39,39.42,46.94,44.76,35.56,24.40,,,,
47,15.00,15.05,15.29,16.24,18.75,24.60,32.61,40.93,47.21,43.81,33.92,23.04,,,,
48,15.01,15.06,15.37,16.48,19.55,25.82,34.22,42.42,47.32,43.47,32.23,21.81,,,,
49,15.01,15.08,15.46,16.76,20.57,27.15,35.89,44.22,47.15,42.36,30.52,20.74,,,,
50,15.01,15.11,15.57,17.07,21.38,28.56,37.53,45.31,46.79,39.76,28.81,19.19,,,,
51,15.02,15.14,15.70,17.43,22.33,30.07,40.45,46.23,46.23,38.33,27.15,18.47,,,,
52,15.02,15.18,15.85,17.84,23.33,31.62,41.86,46.90,45.50,36.79,25.88,18.37,,,,
53,15.03,15.23,16.02,18.32,23.67,33.26,43.34,47.36,44.90,35.16,24.26,17.82,,,,
54,15.05,15.29,16.24,18.87,25.28,34.94,43.65,47.58,43.98,35.17,23.02,17.35,,,,
55,15.06,15.37,16.48,19.49,27.04,36.60,44.88,47.58,42.85,33.44,21.67,16.69,,,,
56,15.08,15.46,16.76,20.20,27.49,38.29,45.92,47.45,41.57,31.72,20.51,16.64,,,,
57,15.11,15.57,17.09,21.00,29.46,39.89,46.75,47.32,41.08,28.25,19.61,16.36,,,,
58,15.14,15.70,17.45,21.90,31.59,41.47,47.54,46.27,39.69,26.61,18.86,16.13,,,,
59,15.18,15.85,17.88,22.89,32.08,42.92,47.87,45.46,38.17,25.05,18.23,15.92,,,,
60,15.23,16.04,18.38,24.00,34.56,44.23,47.90,44.93,36.58,23.63,17.85,15.75,,,,
61,15.29,16.25,18.94,25.20,35.42,45.41,47.50,43.40,33.48,22.35,17.27,15.60,,,,
62,15.37,16.50,19.58,26.51,37.76,46.35,47.17,42.68,31.38,21.21,16.89,15.48,,,,
63,15.46,16.79,20.31,27.92,39.87,47.10,46.32,41.38,29.62,20.21,16.57,15.38,,,,
64,15.57,17.13,21.14,29.42,41.50,47.63,46.33,39.87,27.91,19.38,16.31,15.29,,,,
65,15.71,17.51,22.06,30.99,41.95,47.88,45.44,38.41,26.61,18.67,16.08,15.23,,,,
66,15.87,17.96,23.10,32.63,44.25,47.94,44.42,36.13,26.26,18.07,15.88,15.17,,,,
67,16.06,18.47,24.24,34.30,44.64,47.75,43.27,35.00,24.73,17.58,15.71,15.13,,,,
68,16.28,19.07,25.49,36.03,46.11,47.37,41.95,32.59,23.32,17.28,15.57,15.09,,,,
69,16.54,19.75,26.85,37.71,46.64,46.77,40.54,30.80,22.07,16.91,15.45,15.07,,,,
70,16.83,20.51,28.28,39.39,47.33,46.00,39.02,29.06,20.17,16.59,15.36,15.04,,,,
71,17.18,21.38,29.81,40.99,47.76,45.09,37.39,27.36,20.02,16.31,15.28,15.03,,,,
72,17.59,22.34,31.41,42.49,47.97,43.99,35.68,26.32,19.21,16.07,15.21,15.02,,,,
73,18.05,23.42,33.08,43.84,47.87,42.80,33.91,24.28,18.63,15.89,15.16,15.01,,,,
74,18.59,24.61,34.77,45.05,47.69,41.45,32.11,23.30,18.53,15.72,15.12,15.01,,,,
75,19.20,25.89,36.47,46.06,47.01,39.99,30.31,21.00,17.97,15.54,15.10,15.00,,,,
76,19.89,27.28,38.16,46.87,46.62,38.41,28.56,20.70,17.16,15.43,15.09,15.00,,,,
77,20.69,28.76,39.82,47.46,45.47,36.73,26.90,20.70,16.73,15.33,15.06,15.00,,,,
78,21.58,30.32,41.38,47.78,44.83,34.99,25.33,19.81,16.19,15.26,15.04,15.00,,,,
79,22.59,31.96,42.86,47.90,43.72,33.19,23.89,19.04,16.05,15.20,15.02,15.00,,,,
80,23.69,33.63,44.17,47.79,42.45,31.40,22.59,18.40,15.85,15.15,15.01,15.00,,,,
81,24.90,35.35,45.32,47.47,41.05,29.62,21.44,17.40,15.69,15.11,15.01,15.00,,,,
82,26.20,37.05,46.30,46.98,39.56,27.93,20.46,17.00,15.56,15.08,15.00,15.00,,,,
83,27.63,38.76,47.02,46.28,37.25,26.29,19.59,16.66,15.43,15.05,15.00,15.00,,,,
84,29.14,40.38,47.53,45.41,36.23,24.78,18.86,16.38,15.34,15.03,15.00,15.00,,,,
85,30.72,41.92,47.80,44.41,34.48,23.42,18.25,16.13,15.26,15.02,15.00,15.00,,,,
86,32.35,43.33,47.86,43.27,32.68,22.20,17.73,15.93,15.19,15.01,15.00,15.00,,,,
87,34.02,44.57,47.69,41.93,30.88,21.13,17.29,15.75,15.14,15.01,15.00,15.00,,,,
88,35.73,45.63,47.33,40.52,29.13,20.19,16.91,15.61,15.11,15.01,15.00,15.01,,,,
89,37.41,46.48,46.76,38.97,27.46,19.41,16.59,15.48,15.08,15.00,15.00,15.01,,,,
90,39.06,47.11,46.02,37.34,25.87,18.71,16.32,15.38,15.07,15.00,15.00,15.01,,,,
91,40.64,47.49,45.10,35.61,24.42,18.13,16.08,15.30,15.05,15.00,15.00,15.01,,,,
92,42.13,47.66,44.04,33.83,23.10,17.63,15.88,15.23,15.03,15.00,15.00,15.02,,,,
93,43.46,47.63,42.86,32.02,21.94,17.22,15.72,15.18,15.01,15.00,15.00,15.03,,,,
94,44.62,47.41,41.52,30.27,20.92,16.84,15.58,15.14,15.01,15.00,15.01,15.04,,,,
95,45.60,46.96,40.06,28.55,20.02,16.53,15.46,15.10,15.01,15.00,15.01,15.06,,,,
96,46.37,46.33,38.49,26.94,19.26,16.27,15.36,15.07,15.00,15.00,15.01,15.17,,,,
97,46.92,45.55,36.81,25.42,18.60,16.04,15.29,15.05,15.00,15.00,15.02,15.27,,,,
98,47.24,44.58,35.05,24.03,18.03,15.85,15.22,15.03,15.00,15.00,15.03,15.28,,,,
99,47.35,43.47,33.27,22.79,17.55,15.69,15.17,15.02,15.00,15.00,15.04,15.35,,,,
100,47.26,42.25,31.51,21.71,17.15,15.55,15.13,15.01,15.00,15.00,15.06,15.35,,,,
101,46.95,40.87,29.76,20.73,16.79,15.44,15.09,15.01,15.00,15.00,15.10,15.42,,,,
102,46.47,39.36,28.10,19.90,16.49,15.35,15.06,15.00,15.00,15.01,15.13,15.43,,,,
103,45.81,37.73,26.53,19.43,16.23,15.28,15.04,15.00,15.00,15.01,15.18,15.54,,,,
104,44.97,36.04,25.06,18.54,16.01,15.22,15.03,15.00,15.00,15.01,15.23,15.67,,,,
105,44.01,34.31,23.73,18.00,15.82,15.17,15.02,15.00,15.00,15.02,15.29,15.66,,,,
106,42.88,32.54,22.55,18.03,15.67,15.12,15.01,15.00,15.00,15.02,15.37,16.25,,,,
107,41.62,30.79,21.50,17.13,15.54,15.09,15.01,15.00,15.00,15.03,15.45,16.52,,,,
108,40.22,29.12,20.58,17.15,15.43,15.06,15.00,15.00,15.00,15.05,15.54,16.84,,,,
109,38.73,27.53,19.79,16.70,15.35,15.04,15.00,15.00,15.01,15.07,15.71,17.71,,,,
